id,route_or_scope,page_or_context,source_file,line,placement,original_text,purpose,background,polish_notes
C185,/hatch/consent + /encounter/first + /share,共享组件,src/features/demo/interaction-client.tsx,375,其他固定 UI 文案,正在比较两种思考方式…,页面可见的固定文字或开发/兜底可见文本。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C186,/hatch/consent + /encounter/first + /share,共享组件,src/features/demo/interaction-client.tsx,375,其他固定 UI 文案,匹配结果暂时不可用,页面可见的固定文字或开发/兜底可见文本。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C187,/hatch/consent + /encounter/first + /share,共享组件,src/features/demo/interaction-client.tsx,376,其他固定 UI 文案,寻找连接点…,页面可见的固定文字或开发/兜底可见文本。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C188,/hatch/consent + /encounter/first + /share,共享组件,src/features/demo/interaction-client.tsx,407,眉题/舞台标签,SCENE 05 · 两个不同的思考方式，也许能走得很远,说明场景、阶段或信息类型。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C189,/hatch/consent + /encounter/first + /share,共享组件,src/features/demo/interaction-client.tsx,408,标题,第一次,建立页面/卡片主命题与注意力层级。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C190,/hatch/consent + /encounter/first + /share,共享组件,src/features/demo/interaction-client.tsx,408,标题,相遇,建立页面/卡片主命题与注意力层级。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C191,/hatch/consent + /encounter/first + /share,共享组件,src/features/demo/interaction-client.tsx,409,说明正文,不同，才更有意思。,解释机制、原因、边界或当前发生了什么。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C192,/hatch/consent + /encounter/first + /share,共享组件,src/features/demo/interaction-client.tsx,413,无障碍/图像说明,本喵第一次遇见候选 Persona,帮助屏幕阅读器或解释视觉对象。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C193,/hatch/consent + /encounter/first + /share,共享组件,src/features/demo/interaction-client.tsx,419,标签/状态,谢邀喵匹配度,给指标、状态、角色或来源提供短标签。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C194,/hatch/consent + /encounter/first + /share,共享组件,src/features/demo/interaction-client.tsx,422,标签/状态,共同兴趣,给指标、状态、角色或来源提供短标签。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C195,/hatch/consent + /encounter/first + /share,共享组件,src/features/demo/interaction-client.tsx,422,标签/状态,你的长期偏好,给指标、状态、角色或来源提供短标签。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C196,/hatch/consent + /encounter/first + /share,共享组件,src/features/demo/interaction-client.tsx,424,标签/状态,知乎直答找到的连接点,给指标、状态、角色或来源提供短标签。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C197,/hatch/consent + /encounter/first + /share,共享组件,src/features/demo/interaction-client.tsx,424,标签/状态,决定第一场对手戏,给指标、状态、角色或来源提供短标签。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C198,/hatch/consent + /encounter/first + /share,共享组件,src/features/demo/interaction-client.tsx,424,标签/状态,连接话题,给指标、状态、角色或来源提供短标签。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C199,/hatch/consent + /encounter/first + /share,共享组件,src/features/demo/interaction-client.tsx,442,标签/状态,共同,给指标、状态、角色或来源提供短标签。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C200,/hatch/consent + /encounter/first + /share,共享组件,src/features/demo/interaction-client.tsx,443,标签/状态,不同,给指标、状态、角色或来源提供短标签。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C201,/hatch/consent + /encounter/first + /share,共享组件,src/features/demo/interaction-client.tsx,447,标签/状态,理性玩梗,给指标、状态、角色或来源提供短标签。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C202,/hatch/consent + /encounter/first + /share,共享组件,src/features/demo/interaction-client.tsx,451,说明正文,关系预测：{prediction},解释机制、原因、边界或当前发生了什么。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C203,/hatch/consent + /encounter/first + /share,共享组件,src/features/demo/interaction-client.tsx,453,其他固定 UI 文案,正在比较两种思考方式…,页面可见的固定文字或开发/兜底可见文本。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C204,/hatch/consent + /encounter/first + /share,共享组件,src/features/demo/interaction-client.tsx,453,其他固定 UI 文案,先从共同兴趣和表达差异建立第一条连接。,页面可见的固定文字或开发/兜底可见文本。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C205,/hatch/consent + /encounter/first + /share,共享组件,src/features/demo/interaction-client.tsx,455,其他固定 UI 文案,匹配中,页面可见的固定文字或开发/兜底可见文本。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C206,/hatch/consent + /encounter/first + /share,共享组件,src/features/demo/interaction-client.tsx,455,其他固定 UI 文案,匹配暂不可用,页面可见的固定文字或开发/兜底可见文本。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C207,/hatch/consent + /encounter/first + /share,共享组件,src/features/demo/interaction-client.tsx,468,标签/状态,让它们先聊两句 <span>→</span>,给指标、状态、角色或来源提供短标签。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C208,/hatch/consent + /encounter/first + /share,共享组件,src/features/demo/interaction-client.tsx,475,其他固定 UI 文案,换一个候选 ↻,页面可见的固定文字或开发/兜底可见文本。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C209,/hatch/consent + /encounter/first + /share,共享组件,src/features/demo/interaction-client.tsx,566,其他固定 UI 文案,这轮接话断了一下。再让它们试一次。,页面可见的固定文字或开发/兜底可见文本。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C210,/hatch/consent + /encounter/first + /share,共享组件,src/features/demo/interaction-client.tsx,610,其他固定 UI 文案,正在把今天的问题带进舞台…,页面可见的固定文字或开发/兜底可见文本。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C211,/hatch/consent + /encounter/first + /share,共享组件,src/features/demo/interaction-client.tsx,614,其他固定 UI 文案,聊到第 ${roundCount} 轮，刚好停在这里。,页面可见的固定文字或开发/兜底可见文本。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C212,/hatch/consent + /encounter/first + /share,共享组件,src/features/demo/interaction-client.tsx,617,其他固定 UI 文案,两只 Persona 正在找第一句。,页面可见的固定文字或开发/兜底可见文本。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C213,/hatch/consent + /encounter/first + /share,共享组件,src/features/demo/interaction-client.tsx,618,其他固定 UI 文案,第 ${roundCount + 1} 轮，它们还在接话。,页面可见的固定文字或开发/兜底可见文本。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C214,/hatch/consent + /encounter/first + /share,共享组件,src/features/demo/interaction-client.tsx,619,其他固定 UI 文案,准备接下一句。,页面可见的固定文字或开发/兜底可见文本。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C215,/hatch/consent + /encounter/first + /share,共享组件,src/features/demo/interaction-client.tsx,624,说明正文,同一个知乎问题，两种性格自己往下聊。,解释机制、原因、边界或当前发生了什么。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C216,/hatch/consent + /encounter/first + /share,共享组件,src/features/demo/interaction-client.tsx,628,无障碍/图像说明,本喵正在和社区居民对话,帮助屏幕阅读器或解释视觉对象。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C217,/hatch/consent + /encounter/first + /share,共享组件,src/features/demo/interaction-client.tsx,630,标签/状态,理性玩梗,给指标、状态、角色或来源提供短标签。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C218,/hatch/consent + /encounter/first + /share,共享组件,src/features/demo/interaction-client.tsx,633,标签/状态,知乎 · 真实问题,给指标、状态、角色或来源提供短标签。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C219,/hatch/consent + /encounter/first + /share,共享组件,src/features/demo/interaction-client.tsx,635,其他固定 UI 文案,查看原问题 ↗,页面可见的固定文字或开发/兜底可见文本。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C220,/hatch/consent + /encounter/first + /share,共享组件,src/features/demo/interaction-client.tsx,639,无障碍/图像说明,${candidate.displayName} 正在和本喵对话,帮助屏幕阅读器或解释视觉对象。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C221,/hatch/consent + /encounter/first + /share,共享组件,src/features/demo/interaction-client.tsx,658,其他固定 UI 文案,本喵,页面可见的固定文字或开发/兜底可见文本。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C222,/hatch/consent + /encounter/first + /share,共享组件,src/features/demo/interaction-client.tsx,667,标签/状态,找第一句,给指标、状态、角色或来源提供短标签。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C223,/hatch/consent + /encounter/first + /share,共享组件,src/features/demo/interaction-client.tsx,667,标签/状态,接下一轮,给指标、状态、角色或来源提供短标签。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C224,/hatch/consent + /encounter/first + /share,共享组件,src/features/demo/interaction-client.tsx,674,其他固定 UI 文案,双 Persona 对话,页面可见的固定文字或开发/兜底可见文本。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C225,/hatch/consent + /encounter/first + /share,共享组件,src/features/demo/interaction-client.tsx,678,CTA/导航,再接一次 ↻,推动下一步操作或页面跳转。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C226,/hatch/consent + /encounter/first + /share,共享组件,src/features/demo/interaction-client.tsx,692,其他固定 UI 文案,它们还在聊…,页面可见的固定文字或开发/兜底可见文本。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C227,/hatch/consent + /encounter/first + /share,共享组件,src/features/demo/interaction-client.tsx,694,其他固定 UI 文案,关系落笔中…,页面可见的固定文字或开发/兜底可见文本。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C228,/hatch/consent + /encounter/first + /share,共享组件,src/features/demo/interaction-client.tsx,695,标签/状态,收下这段关系,给指标、状态、角色或来源提供短标签。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C229,/hatch/consent + /encounter/first + /share,共享组件,src/features/demo/interaction-client.tsx,698,其他固定 UI 文案,再看一个,页面可见的固定文字或开发/兜底可见文本。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C230,/hatch/consent + /encounter/first + /share,共享组件,src/features/demo/interaction-client.tsx,719,无障碍/图像说明,本喵完成第一次相遇,帮助屏幕阅读器或解释视觉对象。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C231,/hatch/consent + /encounter/first + /share,共享组件,src/features/demo/interaction-client.tsx,722,无障碍/图像说明,${resident.displayName} 与本喵的第一次关系纪念照,帮助屏幕阅读器或解释视觉对象。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C232,/hatch/consent + /encounter/first + /share,共享组件,src/features/demo/interaction-client.tsx,755,其他固定 UI 文案,谢邀喵：第一段关系已经成立。${title} × ${residentName}${relationship ?,页面可见的固定文字或开发/兜底可见文本。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C233,/hatch/consent + /encounter/first + /share,共享组件,src/features/demo/interaction-client.tsx,766,标签/状态,分享文案已复制,给指标、状态、角色或来源提供短标签。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C234,/hatch/consent + /encounter/first + /share,共享组件,src/features/demo/interaction-client.tsx,766,标签/状态,保存这一幕,给指标、状态、角色或来源提供短标签。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C235,/explore + /encounter + /journey/[journeyId] + /relationship/[relationshipId] + /atlas + landing signal,共享组件,src/features/demo/live/daily-live-client.tsx,22,其他固定 UI 文案,这只喵没有解释，只把问题叼了回来。,页面可见的固定文字或开发/兜底可见文本。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C236,/explore + /encounter + /journey/[journeyId] + /relationship/[relationshipId] + /atlas + landing signal,共享组件,src/features/demo/live/daily-live-client.tsx,27,其他固定 UI 文案,它先在这题前停了下来。你常看「${primaryInterest}」，这题又刚好留了个能继续追问的口子。,页面可见的固定文字或开发/兜底可见文本。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C237,/explore + /encounter + /journey/[journeyId] + /relationship/[relationshipId] + /atlas + landing signal,共享组件,src/features/demo/live/daily-live-client.tsx,28,其他固定 UI 文案,和「${primaryInterest}」不完全同路，所以它反而多看了一会儿。,页面可见的固定文字或开发/兜底可见文本。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C238,/explore + /encounter + /journey/[journeyId] + /relationship/[relationshipId] + /atlas + landing signal,共享组件,src/features/demo/live/daily-live-client.tsx,29,其他固定 UI 文案,完全是顺路拐进去的陌生地方。它觉得这张票根值得带回来。,页面可见的固定文字或开发/兜底可见文本。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C239,/explore + /encounter + /journey/[journeyId] + /relationship/[relationshipId] + /atlas + landing signal,共享组件,src/features/demo/live/daily-live-client.tsx,98,眉题/舞台标签,JOURNEY LOG · 它今天去了哪里,说明场景、阶段或信息类型。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C240,/explore + /encounter + /journey/[journeyId] + /relationship/[relationshipId] + /atlas + landing signal,共享组件,src/features/demo/live/daily-live-client.tsx,98,眉题/舞台标签,PUBLIC EXPLORE · 看看别人养出了什么,说明场景、阶段或信息类型。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C241,/explore + /encounter + /journey/[journeyId] + /relationship/[relationshipId] + /atlas + landing signal,共享组件,src/features/demo/live/daily-live-client.tsx,99,标题,它今天去了,建立页面/卡片主命题与注意力层级。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C242,/explore + /encounter + /journey/[journeyId] + /relationship/[relationshipId] + /atlas + landing signal,共享组件,src/features/demo/live/daily-live-client.tsx,99,标题,知乎,建立页面/卡片主命题与注意力层级。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C243,/explore + /encounter + /journey/[journeyId] + /relationship/[relationshipId] + /atlas + landing signal,共享组件,src/features/demo/live/daily-live-client.tsx,99,标题,在这个世界里，,建立页面/卡片主命题与注意力层级。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C244,/explore + /encounter + /journey/[journeyId] + /relationship/[relationshipId] + /atlas + landing signal,共享组件,src/features/demo/live/daily-live-client.tsx,99,标题,问题会让,建立页面/卡片主命题与注意力层级。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C245,/explore + /encounter + /journey/[journeyId] + /relationship/[relationshipId] + /atlas + landing signal,共享组件,src/features/demo/live/daily-live-client.tsx,99,标题,灵魂,建立页面/卡片主命题与注意力层级。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C246,/explore + /encounter + /journey/[journeyId] + /relationship/[relationshipId] + /atlas + landing signal,共享组件,src/features/demo/live/daily-live-client.tsx,99,标题,相遇。,建立页面/卡片主命题与注意力层级。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C247,/explore + /encounter + /journey/[journeyId] + /relationship/[relationshipId] + /atlas + landing signal,共享组件,src/features/demo/live/daily-live-client.tsx,100,说明正文,它现在知道你最常停留在「${primaryInterest}」，但不会只去那里。,解释机制、原因、边界或当前发生了什么。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C248,/explore + /encounter + /journey/[journeyId] + /relationship/[relationshipId] + /atlas + landing signal,共享组件,src/features/demo/live/daily-live-client.tsx,100,说明正文,这里展示的是当前知乎公开问题如何进入谢邀喵的世界。,解释机制、原因、边界或当前发生了什么。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C249,/explore + /encounter + /journey/[journeyId] + /relationship/[relationshipId] + /atlas + landing signal,共享组件,src/features/demo/live/daily-live-client.tsx,109,无障碍/图像说明,${catName}背着包走进知乎知识世界,帮助屏幕阅读器或解释视觉对象。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C250,/explore + /encounter + /journey/[journeyId] + /relationship/[relationshipId] + /atlas + landing signal,共享组件,src/features/demo/live/daily-live-client.tsx,111,无障碍/图像说明,社区居民群像,帮助屏幕阅读器或解释视觉对象。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C251,/explore + /encounter + /journey/[journeyId] + /relationship/[relationshipId] + /atlas + landing signal,共享组件,src/features/demo/live/daily-live-client.tsx,129,其他固定 UI 文案,现在热榜,页面可见的固定文字或开发/兜底可见文本。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C252,/explore + /encounter + /journey/[journeyId] + /relationship/[relationshipId] + /atlas + landing signal,共享组件,src/features/demo/live/daily-live-client.tsx,129,其他固定 UI 文案,顺路看看,页面可见的固定文字或开发/兜底可见文本。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C253,/explore + /encounter + /journey/[journeyId] + /relationship/[relationshipId] + /atlas + landing signal,共享组件,src/features/demo/live/daily-live-client.tsx,129,其他固定 UI 文案,再逛一题,页面可见的固定文字或开发/兜底可见文本。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C254,/explore + /encounter + /journey/[journeyId] + /relationship/[relationshipId] + /atlas + landing signal,共享组件,src/features/demo/live/daily-live-client.tsx,130,其他固定 UI 文案,最近带回,页面可见的固定文字或开发/兜底可见文本。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C255,/explore + /encounter + /journey/[journeyId] + /relationship/[relationshipId] + /atlas + landing signal,共享组件,src/features/demo/live/daily-live-client.tsx,130,其他固定 UI 文案,旅途 ${index + 1},页面可见的固定文字或开发/兜底可见文本。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C256,/explore + /encounter + /journey/[journeyId] + /relationship/[relationshipId] + /atlas + landing signal,共享组件,src/features/demo/live/daily-live-client.tsx,135,其他固定 UI 文案,旅途卡 ${index + 1},页面可见的固定文字或开发/兜底可见文本。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C257,/explore + /encounter + /journey/[journeyId] + /relationship/[relationshipId] + /atlas + landing signal,共享组件,src/features/demo/live/daily-live-client.tsx,140,标签/状态,现在为什么会看到：,给指标、状态、角色或来源提供短标签。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C258,/explore + /encounter + /journey/[journeyId] + /relationship/[relationshipId] + /atlas + landing signal,共享组件,src/features/demo/live/daily-live-client.tsx,140,标签/状态,这一趟：,给指标、状态、角色或来源提供短标签。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C259,/explore + /encounter + /journey/[journeyId] + /relationship/[relationshipId] + /atlas + landing signal,共享组件,src/features/demo/live/daily-live-client.tsx,141,其他固定 UI 文案,来自当前知乎公开发现池。它会结合「${primaryInterest}」和你塞进包里的纸条，在真正出门时自己挑一题。,页面可见的固定文字或开发/兜底可见文本。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C260,/explore + /encounter + /journey/[journeyId] + /relationship/[relationshipId] + /atlas + landing signal,共享组件,src/features/demo/live/daily-live-client.tsx,142,其他固定 UI 文案,"${item.completedAt ? formatJourneyDate(item.completedAt) : """"} · 纸条「${item.routeBias ?? ""随便逛""}」${item.artifactType === ""RELATION_TICKET"" ? "" · 途中还遇见了另一只猫"" : """"}",页面可见的固定文字或开发/兜底可见文本。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C261,/explore + /encounter + /journey/[journeyId] + /relationship/[relationshipId] + /atlas + landing signal,共享组件,src/features/demo/live/daily-live-client.tsx,145,其他固定 UI 文案,"查看知乎原问题 <OpenInNewRoundedIcon fontSize=""inherit"" />",页面可见的固定文字或开发/兜底可见文本。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C262,/explore + /encounter + /journey/[journeyId] + /relationship/[relationshipId] + /atlas + landing signal,共享组件,src/features/demo/live/daily-live-client.tsx,153,其他固定 UI 文案,当前知乎发现池,页面可见的固定文字或开发/兜底可见文本。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C263,/explore + /encounter + /journey/[journeyId] + /relationship/[relationshipId] + /atlas + landing signal,共享组件,src/features/demo/live/daily-live-client.tsx,153,其他固定 UI 文案,真实旅途航迹,页面可见的固定文字或开发/兜底可见文本。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C264,/explore + /encounter + /journey/[journeyId] + /relationship/[relationshipId] + /atlas + landing signal,共享组件,src/features/demo/live/daily-live-client.tsx,155,其他固定 UI 文案,现在刷到 ${questions.length} 个真实公开问题 · 旅行时会从更大的候选池里自己挑,页面可见的固定文字或开发/兜底可见文本。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C265,/explore + /encounter + /journey/[journeyId] + /relationship/[relationshipId] + /atlas + landing signal,共享组件,src/features/demo/live/daily-live-client.tsx,157,其他固定 UI 文案,正在翻旅行册……,页面可见的固定文字或开发/兜底可见文本。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C266,/explore + /encounter + /journey/[journeyId] + /relationship/[relationshipId] + /atlas + landing signal,共享组件,src/features/demo/live/daily-live-client.tsx,159,其他固定 UI 文案,${primaryInterest} · 最近 ${journeyQuestions.length} 趟带回了问题,页面可见的固定文字或开发/兜底可见文本。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C267,/explore + /encounter + /journey/[journeyId] + /relationship/[relationshipId] + /atlas + landing signal,共享组件,src/features/demo/live/daily-live-client.tsx,160,其他固定 UI 文案,知乎发现暂时不可用，旅行册里也还没有问题票根。,页面可见的固定文字或开发/兜底可见文本。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C268,/explore + /encounter + /journey/[journeyId] + /relationship/[relationshipId] + /atlas + landing signal,共享组件,src/features/demo/live/daily-live-client.tsx,161,其他固定 UI 文案,回窝看看它在不在 →,页面可见的固定文字或开发/兜底可见文本。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C269,/explore + /encounter + /journey/[journeyId] + /relationship/[relationshipId] + /atlas + landing signal,共享组件,src/features/demo/live/daily-live-client.tsx,165,CTA/导航,我也想养一个,推动下一步操作或页面跳转。,被多个页面复用；润色时检查是否同时影响多个页面和状态。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
